TIMESTAMP,STOCK,STOCKGPT WEIGHTED FAIR VALUE (PREDICTED)($),YAHOO FINANCE CURRENT PRICE($)
 12/05/26 @2am EDT ,AAPL,176.5,293.01
 12/05/26 @2am EDT ,AMZN,166.41,267.73
 12/05/26 @2am EDT ,ASTS,82.55,72.2
 12/05/26 @2am EDT ,PLUG,3.52,3.74
 12/05/26 @2am EDT ,RGTI,20.51,20.07
 12/05/26 @2am EDT ,TSLA,238.16,427.28
 12/05/26 @7am EDT ,AAPL,176.6,292.11
 12/05/26 @7am EDT ,AMZN,166.41,266.66
 12/05/26 @7am EDT ,ASTS,82.55,72.71
 12/05/26 @7am EDT ,PLUG,3.52,3.79
 12/05/26 @7am EDT ,RGTI,20.51,21.36
 12/05/26 @7am EDT ,TSLA,248.12,439.03
 12/05/26 @10am EDT ,AAPL,177.29,294.26
 12/05/26 @10am EDT ,AMZN,164.48,265.19
 12/05/26 @10am EDT ,ASTS,72.78,73.59
 12/05/26 @10am EDT ,PLUG,3.58,3.78
 12/05/26 @10am EDT ,RGTI,20.18,20.39
 12/05/26 @10am EDT ,TSLA,244.31,438.48
 12/05/26 @1 pm EDT ,AAPL,177.06,294.06
 12/05/26 @1 pm EDT ,AMZN,163.8,264.05
 12/05/26 @1 pm EDT ,ASTS,71,71.18
 12/05/26 @1 pm EDT ,PLUG,3.67,3.69
 12/05/26 @1 pm EDT ,RGTI,18.77,18.66
 12/05/26 @1 pm EDT ,TSLA,238.83,426.98
 12/05/26 @4:30pm EDT ,AAPL,177.52,294.38
 12/05/26 @4:30pm EDT ,AMZN,164.72,265.27
 12/05/26 @4:30pm EDT ,ASTS,72.96,72.88
 12/05/26 @4:30pm EDT ,PLUG,3.56,3.59
 12/05/26 @4:30pm EDT ,RGTI,19.07,19.03
 12/05/26 @4:30pm EDT ,TSLA,241.96,432.3
 12/05/26 @7 pm EDT ,AAPL,177.52,294.45
 12/05/26 @7 pm EDT ,AMZN,164.72,266.88
 12/05/26 @7 pm EDT ,ASTS,72.96,73
 12/05/26 @7 pm EDT ,PLUG,3.56,3.59
 12/05/26 @7 pm EDT ,RGTI,19.07,19.22
 12/05/26 @7 pm EDT ,TSLA,241.96,432.27
 13/05/26 @5am EDT ,AAPL,177.52,293.93
 13/05/26 @5am EDT ,AMZN,164.67,266.7
 13/05/26 @5am EDT ,ASTS,72.96,74.59
 13/05/26 @5am EDT ,PLUG,3.56,3.57
 13/05/26 @5am EDT ,RGTI,19.07,19.48
 13/05/26 @5am EDT ,TSLA,241.96,437.5
 13/05/26 @8am EDT ,AAPL,177.52,293.22
 13/05/26 @8am EDT ,AMZN,164.67,266.01
 13/05/26 @8am EDT ,ASTS,72.96,73.94
 13/05/26 @8am EDT ,PLUG,3.56,3.61
 13/05/26 @8am EDT ,RGTI,19.07,19.54
 13/05/26 @8am EDT ,TSLA,241.96,438.23
 13/05/26 @11am EDT ,AAPL,178.41,296.47
 13/05/26 @11am EDT ,AMZN,164.26,264.94
 13/05/26 @11am EDT ,ASTS,74.93,74.67
 13/05/26 @11am EDT ,PLUG,3.71,3.7599
 13/05/26 @11am EDT ,RGTI,18.4,18.27
 13/05/26 @11am EDT ,TSLA,178.41,448.6
 13/05/26 @5pm EDT ,AAPL,179.3,298.6
 13/05/26 @5pm EDT ,AMZN,164.78,270.07
 13/05/26 @5pm EDT ,ASTS,74.81,74.79
 13/05/26 @5pm EDT ,PLUG,3.96,3.92
 13/05/26 @5pm EDT ,RGTI,18.42,18.48
 13/05/26 @5pm EDT ,TSLA,248.29,446.05
 14/05/26 @530am EDT ,AAPL,179.3,299.07
 14/05/26 @530am EDT ,AMZN,166.97,269.53
 14/05/26 @530am EDT ,ASTS,179.3,74.4
 14/05/26 @530am EDT ,PLUG,3.96,3.9005
 14/05/26 @530am EDT ,RGTI,18.42,18.14
 14/05/26 @530am EDT ,TSLA,248.26,447.45
 14/05/26 @7am EDT ,AAPL,179.3,300.37
 14/05/26 @7am EDT ,AMZN,166.97,270.2
 14/05/26 @7am EDT ,ASTS,74.81,75.3
 14/05/26 @7am EDT ,PLUG,3.96,3.9535
 14/05/26 @7am EDT ,RGTI,18.42,18.25
 14/05/26 @7am EDT ,TSLA,248.26,450.45
 14/05/26 @12pm EDT ,AAPL,179.03,298.86
 14/05/26 @12pm EDT ,AMZN,166.16,268.8
 14/05/26 @12pm EDT ,ASTS,82.7,82.33
 14/05/26 @12pm EDT ,PLUG,3.84,3.8498
 14/05/26 @12pm EDT ,RGTI,19.29,19.25
 14/05/26 @12pm EDT ,TSLA,249.39,450.65
 14/05/26 @2pm EDT ,AAPL,179.03,298.33
 14/05/26 @2pm EDT ,AMZN,166.16,268.47
 14/05/26 @2pm EDT ,ASTS,82.7,84.15
 14/05/26 @2pm EDT ,PLUG,3.84,3.8408
 14/05/26 @2pm EDT ,RGTI,19.29,19.65
 14/05/26 @2pm EDT ,TSLA,249.39,444.4
 14/05/26 @7pm EDT ,AAPL,179.01,298.4
 14/05/26 @7pm EDT ,AMZN,165.42,267.09
 14/05/26 @7pm EDT ,ASTS,83.01,82.81
 14/05/26 @7pm EDT ,PLUG,3.79,3.7897
 14/05/26 @7pm EDT ,RGTI,19.27,19.22
 14/05/26 @7pm EDT ,TSLA,247.21,442.58
 15/05/26 @8am EDT ,AAPL,179.03,294.42
 15/05/26 @8am EDT ,AMZN,165.44,262.67
 15/05/26 @8am EDT ,ASTS,83.01,78.89
 15/05/26 @8am EDT ,PLUG,3.78,3.66
 15/05/26 @8am EDT ,RGTI,19.27,18.57
 15/05/26 @8am EDT ,TSLA,247.31,433.9
 15/05/26 @10am EDT ,AAPL,179.65,299.33
 15/05/26 @10am EDT ,AMZN,163.63,263.65
 15/05/26 @10am EDT ,ASTS,80.59,80.28
 15/05/26 @10am EDT ,PLUG,3.71,3.73
 15/05/26 @10am EDT ,RGTI,17.9,17.89
 15/05/26 @10am EDT ,TSLA,239.04,429.19
 15/05/26 @1pm EDT ,AAPL,180.97,302.42
 15/05/26 @1pm EDT ,AMZN,163.55,263.01
 15/05/26 @1pm EDT ,ASTS,80.14,79.87
 15/05/26 @1pm EDT ,PLUG,3.67,3.645
 15/05/26 @1pm EDT ,RGTI,18,17.93
 15/05/26 @1pm EDT ,TSLA,238.13,426.19
 15/05/26 @5pm EDT ,AAPL,179.91,300.05
 15/05/26 @5pm EDT ,AMZN,163.8,263.24
 15/05/26 @5pm EDT ,ASTS,83.67,82.48
 15/05/26 @5pm EDT ,PLUG,3.78,3.79
 15/05/26 @5pm EDT ,RGTI,17.85,17.85
 15/05/26 @5pm EDT ,TSLA,236.08,421.21
 15/05/26 @7pm EDT ,AAPL,179.91,299.73
 15/05/26 @7pm EDT ,AMZN,163.8,262.6
 15/05/26 @7pm EDT ,ASTS,83.67,83.67
 15/05/26 @7pm EDT ,PLUG,3.78,3.76
 15/05/26 @7pm EDT ,RGTI,17.85,17.86
 15/05/26 @7pm EDT ,TSLA,236.08,418.29
 16/05/26 @8pm EDT ,AAPL,179.91,299.85
 16/05/26 @8pm EDT ,AMZN,163.77,262.59
 16/05/26 @8pm EDT ,ASTS,83.67,82.6
 16/05/26 @8pm EDT ,PLUG,3.78,3.7597
 16/05/26 @8pm EDT ,RGTI,17.85,17.87
 16/05/26 @8pm EDT ,TSLA,236.05,418.57
 18/05/26 @7pm EDT ,AAPL,178.87,297.47
 18/05/26 @7pm EDT ,AMZN,164.16,265.12
 18/05/26 @7pm EDT ,ASTS,86.83,87.08
 18/05/26 @7pm EDT ,PLUG,3.45,3.46
 18/05/26 @7pm EDT ,RGTI,164.16,16.74
 18/05/26 @7pm EDT ,TSLA,229.52,410.8
 19/05/26 @1pm EDT ,AAPL,179.07,298.05
 19/05/26 @1pm EDT ,AMZN,160.88,258.73
 19/05/26 @1pm EDT ,ASTS,88.57,86.49
 19/05/26 @1pm EDT ,PLUG,3.37,3.355
 19/05/26 @1pm EDT ,RGTI,16.33,16.31
 19/05/26 @1pm EDT ,TSLA,226.48,403.18
 20/05/26 @5pm EDT ,AAPL,180.77,301.6
 20/05/26 @5pm EDT ,AMZN,163.88,265.02
 20/05/26 @5pm EDT ,ASTS,89.58,88.77
 20/05/26 @5pm EDT ,PLUG,3.31,3.305
 20/05/26 @5pm EDT ,RGTI,16.88,16.84
 20/05/26 @5pm EDT ,TSLA,233.37,416.12
 21/05/26 @12pm EDT ,AAPL,181.19,303.68
 21/05/26 @12pm EDT ,AMZN,164.16,264.95
 21/05/26 @12pm EDT ,ASTS,95.52,95.43
 21/05/26 @12pm EDT ,PLUG,21.02,3.7
 21/05/26 @12pm EDT ,RGTI,21.02,20.98
 21/05/26 @12pm EDT ,TSLA,233.21,417.17
 21/05/26 @3pm EDT ,AAPL,181.99,305.1
 21/05/26 @3pm EDT ,AMZN,165.89,268.01
 21/05/26 @3pm EDT ,ASTS,94.03,94.83
 21/05/26 @3pm EDT ,PLUG,3.79,3.77
 21/05/26 @3pm EDT ,RGTI,20.67,21.54
 21/05/26 @3pm EDT ,TSLA,233.78,418.14
 21/05/26 @6pm EDT ,AAPL,181.97,304.98
 21/05/26 @6pm EDT ,AMZN,166.13,268.58
 21/05/26 @6pm EDT ,ASTS,94.54,95.88
 21/05/26 @6pm EDT ,PLUG,3.78,3.78
 21/05/26 @6pm EDT ,RGTI,21.55,23.13
 21/05/26 @6pm EDT ,TSLA,233.66,417.54
 22/05/26 @7am EDT ,AAPL,182.01,305.25
 22/05/26 @7am EDT ,AMZN,166.39,268.46
 22/05/26 @7am EDT ,ASTS,96.23,96.2
 22/05/26 @7am EDT ,PLUG,3.78,3.74
 22/05/26 @7am EDT ,RGTI,22.04,22.63
 22/05/26 @7am EDT ,TSLA,233.69,418.35
 22/05/26 @9am EDT ,AAPL,182.01,305.92
 22/05/26 @9am EDT ,AMZN,166.39,268.5
 22/05/26 @9am EDT ,ASTS,96.23,97.2
 22/05/26 @9am EDT ,PLUG,3.78,3.7609
 22/05/26 @9am EDT ,RGTI,96.23,22.83
 22/05/26 @9am EDT ,TSLA,233.69,420.97
 22/05/26 @12:30pm EDT ,AAPL,184.17,309.94
 22/05/26 @12:30pm EDT ,AMZN,166.22,268.08
 22/05/26 @12:30pm EDT ,ASTS,105.84,105.67
 22/05/26 @12:30pm EDT ,PLUG,3.86,3.865
 22/05/26 @12:30pm EDT ,RGTI,27.15,26.94
 22/05/26 @12:30pm EDT ,TSLA,238.87,427.11
